Technology,Healthcare,Financial Services,Consumer Cyclical,Communication Services,Industrials,Consumer Defensive,Energy,Utilities,Real Estate,Basic Materials,Return,Volatility
13,9,7,16,7,16,8,3,10,8,3,21.43127235,0.60757202
16,15,11,3,7,15,9,5,8,7,4,21.73033021,0.543910439
11,10,14,14,3,16,9,3,5,10,5,17.20636508,0.656513736
13,9,14,17,4,17,4,5,8,5,4,15.83386883,0.597286702
15,9,15,10,3,16,12,5,5,5,5,20.4321704,0.57707209
20,9,15,6,5,10,11,5,4,9,6,17.51828372,0.599711322
17,7,13,9,4,18,7,6,6,8,5,13.10894896,0.607648107
14,15,7,11,7,16,12,2,7,3,6,9.653436821,0.564469546
15,9,11,9,4,18,11,8,7,6,2,14.31140473,0.619477741
16,13,11,9,6,14,9,10,2,9,1,14.70126016,0.603364985
9,19,12,13,5,16,7,6,2,7,4,11.67933839,0.619622942
21,14,12,13,7,7,7,4,8,4,3,22.85912754,0.605821303
15,12,15,12,9,11,9,4,7,2,4,19.32811628,0.559219624
19,13,12,17,7,9,4,3,5,4,7,21.39572056,0.603854519
16,22,8,6,6,10,8,4,6,6,8,6.445535195,0.584861402
15,10,13,14,5,10,9,5,5,6,8,14.9271673,0.639085229
13,7,12,11,6,13,10,5,10,9,4,12.74415287,0.611441039
18,9,19,15,3,11,2,2,7,9,5,19.07956165,0.580062426
14,15,10,10,6,19,8,1,5,6,6,21.17846638,0.585609072
14,19,13,11,3,19,7,2,5,4,3,16.94979584,0.640770242
17,14,8,9,6,17,6,7,8,6,2,14.16882516,0.608725972
21,14,8,11,3,14,8,5,6,8,2,18.87540147,0.535265338
12,11,10,9,7,19,5,9,7,5,6,11.1437923,0.600104266
9,10,2,19,3,17,12,8,8,6,6,4.697644118,0.548789878
12,15,10,12,3,18,7,3,7,6,7,14.9732594,0.617785834
21,12,14,13,5,9,8,6,5,4,3,22.62831765,0.613781586
15,16,12,18,4,11,6,3,5,6,4,14.0444257,0.630684906
16,10,7,11,7,16,3,9,9,8,4,13.77414109,0.629777798
13,18,9,8,3,17,8,10,4,3,7,18.05401988,0.611643197
16,12,19,12,6,13,6,4,7,3,2,17.25340867,0.608363338
12,12,10,14,7,11,5,6,13,8,2,15.10739976,0.617435439
16,7,5,13,5,13,8,1,12,14,6,14.88164648,0.546461403
18,15,13,8,4,8,11,3,8,11,1,13.51003717,0.614395486
16,8,12,17,4,15,7,4,10,3,4,14.75340092,0.592722955
15,15,11,12,5,16,9,3,4,5,5,19.57867977,0.58019634
8,15,17,10,7,14,7,2,12,4,4,16.686532,0.592638762
19,5,14,9,7,21,8,3,4,6,4,14.32178321,0.589504423
14,18,17,12,8,10,6,2,7,5,1,20.95997066,0.63137005
16,15,10,8,3,19,5,6,3,7,8,10.41735013,0.651295613
16,9,13,9,5,17,7,4,9,8,3,20.27036429,0.60987398
13,11,13,12,6,17,7,5,7,4,5,13.21363714,0.533821323
22,14,13,12,3,17,5,3,4,4,3,25.87913071,0.674487616
10,11,17,10,4,12,6,4,5,13,8,14.86904586,0.540186292
14,17,10,8,6,18,4,4,5,5,9,24.49049114,0.619457752
16,6,12,12,6,17,5,2,6,9,9,13.20911287,0.642518027
21,19,9,9,2,9,7,4,6,5,9,7.817989042,0.607968577
18,16,13,11,2,13,5,3,5,9,5,12.89890973,0.576784466
13,17,14,9,3,9,10,9,5,4,7,19.04608925,0.583848942
18,13,17,9,5,17,5,2,9,4,1,9.13935629,0.612034223
19,12,13,5,2,20,9,4,6,5,5,15.97413953,
21,9,10,13,5,19,7,2,6,5,3,14.09652328,0.574542381
17,16,17,8,5,15,5,4,3,7,3,19.75338638,0.631547225
21,5,12,14,7,15,5,5,11,4,1,21.94978843,0.615537062
17,15,12,10,5,19,6,3,2,7,4,16.60576252,0.57142972
8,14,13,13,5,16,8,4,7,5,7,10.39200295,0.560507715
18,8,10,17,1,14,12,7,9,1,3,17.33083506,0.613577923
15,14,14,10,6,18,7,3,4,7,2,16.39412744,0.594715343
13,15,12,11,6,15,12,2,7,4,3,10.89702334,0.604751963
17,9,17,13,3,13,3,3,10,8,4,16.99689806,0.624900486
10,9,15,10,6,15,11,4,11,6,3,10.0765798,0.52280533
18,13,12,10,4,16,10,5,5,6,1,14.00413895,0.636491587
12,14,10,9,4,13,7,5,12,9,5,15.8667779,0.541747891
11,15,10,10,3,21,9,1,11,6,3,19.69590101,0.55224739
21,16,6,11,3,18,3,7,3,8,4,15.79577746,0.660523082
12,13,12,17,4,15,4,3,9,8,3,15.60505579,0.602159936
12,11,12,9,5,15,8,3,11,6,8,26.5799246,0.621846847
8,14,18,11,5,13,10,6,6,2,7,14.50797966,0.600642999
12,6,18,17,2,17,6,5,9,4,4,15.82151235,0.58390187
18,13,8,13,4,13,7,4,6,7,7,16.84313808,0.580428612
14,12,15,12,7,20,5,4,3,6,2,15.4078553,0.594382955
23,4,17,7,3,13,5,6,12,5,5,25.77683276,0.648542915
14,13,15,12,3,17,7,5,3,7,4,11.75961556,0.606124902
10,16,12,14,3,12,9,5,8,9,2,19.81374079,0.567910027
14,11,9,9,6,19,5,6,11,7,3,22.22594987,0.575808063
10,12,14,12,6,14,9,4,6,9,4,14.74118958,0.617852127
13,13,16,10,1,16,6,5,11,3,6,21.08312216,0.609693251
13,17,12,11,4,11,7,5,6,6,8,18.87429498,0.523867571
16,16,17,10,3,15,4,5,8,1,5,13.28727197,0.603015016
17,11,18,9,5,12,8,9,3,3,5,20.99474478,0.604488993
12,12,16,9,5,21,7,2,8,3,5,15.51991308,0.57071749
14,13,16,11,8,16,2,4,5,6,5,13.5116255,0.61770572
17,16,6,14,2,19,6,4,4,5,7,19.95007294,0.64368304
13,9,10,16,5,21,6,4,6,5,5,16.66985185,0.601523147
10,18,20,4,11,15,7,4,6,5,0,9.934139335,0.590247381
23,12,18,11,3,6,10,3,6,6,2,13.56326783,0.55786045
17,10,18,9,5,10,8,6,8,7,2,11.95950078,0.546525093
16,12,16,15,5,17,5,1,5,5,3,20.94882723,0.619268745
18,9,15,16,5,12,6,2,12,4,1,20.56470823,0.600901741
12,14,13,16,4,16,6,3,5,8,3,12.71225212,0.645111582
14,12,13,9,6,18,5,3,9,6,5,18.16479904,0.615463111
14,14,16,11,2,13,5,5,7,6,7,19.16780204,0.573080797
24,13,12,9,6,13,4,4,4,5,6,25.94047799,0.654255671
16,18,16,13,3,13,10,2,0,8,1,13.59827443,0.594065786
8,9,17,12,8,20,6,3,8,4,5,16.06562476,0.57895015
18,20,10,9,7,15,5,4,1,4,7,19.22851846,0.566273896
24,15,14,9,4,8,10,1,3,6,6,27.33509586,0.634790075
15,15,14,7,4,15,5,6,10,4,5,21.64595651,0.616460105
10,16,17,11,4,15,7,2,5,7,6,7.160017573,0.650405587
16,13,13,9,6,10,5,4,8,11,5,20.29324746,0.621381979
11,13,18,8,5,14,8,7,5,5,6,5.783132129,0.6056468
12,12,16,11,2,21,6,4,8,4,4,20.45638423,0.572503186
15,12,11,14,4,23,3,2,8,4,4,11.50549492,0.634054816
21,13,11,8,4,13,9,4,5,5,7,14.02964116,0.556103954
13,14,14,14,6,12,6,2,4,11,4,15.13577106,0.606886943
15,12,10,11,7,20,7,3,4,3,8,12.79288345,0.616977288
9,15,20,13,5,12,7,4,4,5,6,11.67925979,0.562924148
16,10,10,15,6,12,9,4,8,7,3,8.321250894,0.554217207
19,14,10,12,4,12,6,4,8,7,4,13.95543306,0.553190081
15,8,13,9,6,23,12,1,7,3,3,14.39208912,0.567377985
13,16,14,7,4,16,4,5,4,5,12,13.9596153,0.601586914
9,17,13,9,6,16,8,8,5,5,4,19.56441262,0.572450272
11,12,12,13,2,18,12,3,8,5,4,14.95491122,0.534482122
20,11,12,14,5,8,6,5,7,7,5,17.01755485,0.622104074
17,15,13,12,2,14,4,7,6,5,5,14.5362444,0.580724288
19,16,10,14,5,14,11,3,1,2,5,13.79336964,0.615771389
15,17,14,7,4,15,8,4,3,10,3,12.91118391,0.61979941
12,12,17,8,6,17,4,2,9,5,8,14.26387535,0.670514635
14,8,17,14,3,16,4,4,6,8,6,11.32761946,0.605878425
13,13,8,18,8,15,9,3,7,3,3,14.29311958,0.529919161
21,15,14,15,4,8,7,2,5,5,4,17.47202197,0.604074107
16,15,9,17,5,14,2,3,5,6,8,14.92903121,0.643581547
14,12,12,10,6,19,8,3,8,5,3,12.9207953,0.589290457
21,16,8,7,4,16,10,4,4,8,2,14.53167118,0.63325475
14,16,10,15,7,16,3,4,10,2,3,23.32549535,0.587056676
9,16,24,13,4,14,7,0,8,3,2,13.8233985,0.634699787
17,19,13,7,1,15,12,4,2,9,1,15.28286983,0.646211546
20,9,17,14,3,13,5,3,4,6,6,21.49901614,0.621438269
19,14,8,10,5,14,10,6,6,6,2,18.59017633,0.587445703
10,11,18,9,5,17,7,7,6,10,0,14.22048822,0.588700011
11,10,14,13,4,15,7,4,9,6,7,8.670526722,0.635137004
16,12,11,12,7,18,6,7,5,4,2,12.54077624,0.649728133
22,11,11,8,5,20,6,1,8,3,5,9.325202701,0.630623716
22,13,15,12,3,13,4,3,6,5,4,22.24511208,0.587435767
9,16,15,12,6,12,8,4,9,3,6,16.26763673,0.545390282
16,16,8,19,2,11,8,1,12,3,4,19.64456699,0.608683083
14,18,10,15,2,11,10,3,5,6,6,6.302975795,0.651772944
17,15,11,6,3,12,10,5,8,7,6,22.17788658,0.598750571
17,10,6,15,6,16,5,10,7,8,0,19.0306878,0.584121124
18,10,15,10,7,11,5,5,10,4,5,17.856266,0.61491699
13,13,13,13,7,15,9,3,5,4,5,22.62959567,0.573327893
16,10,9,9,5,18,9,8,7,4,5,19.71908955,0.599211453
21,16,9,13,3,11,4,6,8,9,0,17.02110084,0.604237552
18,12,14,11,4,20,4,1,5,6,5,24.38118547,0.613690518
14,8,16,14,7,17,7,1,5,7,4,16.30804681,0.645797577
16,10,8,9,8,12,9,12,4,7,5,18.13472798,0.626685025
19,5,13,22,2,15,8,2,10,4,0,20.89043809,0.59242906
14,15,9,10,3,13,10,5,8,7,6,17.70897109,0.640171633
9,11,16,17,4,15,7,3,8,8,2,11.9813169,0.598218775
16,18,12,12,1,15,3,6,5,4,8,14.68576436,0.622716923
18,8,13,16,3,16,5,4,7,6,4,18.12123158,0.641380615
19,14,14,8,5,13,5,2,7,9,4,13.65092892,0.644794937
16,9,10,12,8,18,10,5,4,6,2,17.37710593,0.63140163
15,19,14,10,7,14,4,3,5,5,4,20.57894211,0.62159831
15,14,12,9,3,6,7,7,13,8,6,13.70058263,0.562089921
10,17,13,13,2,14,10,5,5,2,9,6.141786894,0.566940206
16,16,14,10,6,9,8,1,6,5,9,21.33587576,0.599461453
21,14,11,7,6,14,10,5,4,3,5,21.24435958,0.564269279
14,13,15,14,3,20,3,0,6,6,6,19.18764185,0.629482217
18,17,16,9,2,12,6,5,6,5,4,15.33208356,0.6042394
11,11,15,18,7,17,6,2,5,4,4,13.41827995,0.626821432
16,11,16,11,5,21,4,3,5,5,3,10.70212547,0.644197795
23,8,14,11,3,14,5,4,6,8,4,15.82954733,0.573118758
13,12,13,15,5,11,12,3,7,4,5,20.76039347,0.573256396
14,17,14,10,7,12,7,4,5,8,2,13.45433927,0.55272648
19,14,4,11,5,22,4,4,8,5,4,18.37269185,0.608162194
13,16,18,10,2,14,5,4,9,7,2,14.69896899,0.640706856
15,11,13,11,7,15,11,5,4,5,3,8.190807799,0.570613807
13,10,12,9,7,24,8,4,6,2,5,14.86179443,0.586908284
12,12,19,10,6,19,8,5,1,3,5,19.50324965,0.6441105
22,13,13,8,3,12,13,4,5,3,4,14.17579137,0.502302108
17,9,11,12,7,15,8,3,9,4,5,22.06753419,0.526044825
17,10,10,15,3,9,9,9,7,8,3,20.10124037,0.614685173
16,11,16,12,4,14,8,4,6,7,2,17.48241356,0.607562271
16,12,11,13,2,17,6,3,4,8,8,12.78628857,0.6041089
19,10,16,11,2,13,6,6,6,7,4,21.50451665,0.588519136
18,12,17,10,2,9,6,2,11,7,6,14.75140802,0.594162691
15,15,13,8,5,17,5,5,2,9,6,13.1008012,0.590043044
20,9,13,12,4,9,6,5,7,12,3,13.53205113,0.595708649
10,17,8,13,5,20,6,3,11,4,3,14.4803604,0.586732746
16,17,13,10,1,10,8,2,5,5,13,19.59372269,0.58166914
12,7,18,7,3,22,6,4,6,12,3,17.32170669,0.626516015
15,14,7,10,4,18,2,8,8,9,5,5.276255186,0.622356925
11,16,16,14,3,14,10,2,5,5,4,14.41158404,0.577931976
14,15,9,13,5,19,8,2,7,5,3,11.22745877,0.55842333
13,8,15,15,4,12,4,5,12,6,6,17.66845156,0.614161258
13,16,12,11,8,12,5,5,7,10,1,21.20132247,0.629694443
15,12,11,11,5,18,9,9,5,3,2,10.58669595,0.619568772
24,8,11,9,5,16,7,4,4,6,6,21.78278419,0.639580651
12,11,8,8,7,19,7,9,6,6,7,10.2888622,0.600332943
23,12,10,15,7,13,2,1,8,8,1,21.71463557,0.635745059
3,20,15,8,4,19,4,6,10,8,3,11.01121771,0.561891446
17,10,9,10,3,23,2,2,6,9,9,16.84781576,0.651418244
8,10,17,13,9,16,5,5,3,10,4,6.892167548,0.629833115
12,14,14,12,4,18,6,2,4,9,5,16.39248942,0.616363005
12,14,13,9,5,15,7,8,7,4,6,8.137034075,0.595613908
16,13,9,13,2,14,11,7,3,9,3,8.501909982,0.630283925
18,13,9,14,2,13,13,4,3,6,5,15.37340159,0.575418978
18,12,13,11,6,13,2,2,13,8,2,15.44591856,0.577812373
22,11,19,9,3,15,5,3,4,5,4,12.181361,0.591555359
8,12,11,11,4,20,6,5,12,6,5,20.10015119,0.603759163
17,9,12,14,5,12,8,5,6,7,5,19.84249192,0.60887886
14,12,15,5,6,14,8,6,8,8,4,15.68733991,0.584151133
